quest_value,quest_name,quest_legend,link,level_rec
314,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
319,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
324,Hydra Egg Quest,Overcome a hydra and enter its nest to grab a Hydra Egg. ,https://tibia.fandom.com/wiki/Hydra_Egg_Quest,70
326,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
328,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
329,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
330,Explorer Society Quest,The Explorer Society is a noble order of explorers who have ventured themselves to the very core of the Tibian realm. You can join this society and raise in rank by helping them with their exploration. ,https://tibia.fandom.com/wiki/The_Explorer_Society_Quest,110
331,Ape City Quest,"The renowned Merlkin Hairycles is trying to find true friends amongst the humans. To prove that you can be one of those friends, you must help the apes.",https://tibia.fandom.com/wiki/The_Ape_City_Quest,130
332,Explorer Brooch Quest,"A member of the explorer society drank too much, and was possibly killed in a brawl in the Jolly Axeman Tavern.",https://tibia.fandom.com/wiki/Explorer_Brooch_Quest,8
401,Blood Orb Quest,Defeat Orshabaal and prove worthy before the King.,,150
402,Shaburak Demon Quest,Deep below Thais the Shaburak Demons have built a stronghold.,,100
403,Shaburak Demon Quest,Deep below Thais the Shaburak Demons have built a stronghold.,,100
404,Undead Island Tower Quest,The undead watch over a treasure at the top of their tower.,,50
405,Undead Island Tower Quest,The undead watch over a treasure at the top of their tower.,,50
406,First Level Of Hell Quest,"Not so bad, is it?",,50
407,Second Level Of Hell Quest,A bit more of a challenge.,,60
408,Third Level Of Hell Quest,Death is all around you.,,80
409,Fourth Level Of Hell Quest,Are you sure you want to go further?,,100
410,Fifth Level Of Hell Quest,You are getting closer.,,120
411,Sixth Level Of Hell Quest,Not much longer to go.,,120
412,Seventh Level Of Hell Quest,You have almost made it to the end.,,150
413,Final Level Of Hell Quest,Libera te tutemet ex inferis.,,200
414,Edron Mountain Ruins Quest,Not all was lost when the tower was overrun by the undead.,,30
415,Edron Dragon Lair Quest,The dragons hoard a useful treasure.,,70
416,Amazon Camp Quest,Something is hidden in the Amazon camp west of Ab’Dendriel.,,40
417,Carlin Troll Camp Quest,The trolls have stolen something valuable from the elves.,,20
418,Mintwallin Guard Quest,"A minotaur guard protects something valuable, but the door seems locked.",,40
419,Hot When You’re Cold Quest,It is surprisingly warm beneath the ice islands.,,40
420,White Flower Temple Quest,Something unholy lurks in the shadows below the temple.,,50
421,Hoggle’s House Quest,Hoggle’s business is doing pretty good.,,8
422,Venore Prison Quest,What kind of sick creature are they hiding downstairs?,,60
423,Fogn Forest Quest,"Not quite big enough to be called a forest, to be honest.",,10
424,Fogn Frost Spider Quest,"Frost Spiders, Ice Golems, what else can you find?",,65
425,Fogn Frost Dragon Quest,"Those that may pass, and those that survive, might find something valuable.",,100
426,White Arrow Quest,Follow the white arrows and seek the frozen treasure.,,150
427,White Arrow Quest,Follow the white arrows and seek the frozen treasure.,,150
428,Skull And Bones Quest,"Only a fool would venture this deep, where ice turns into fire and the undead rule.",,200
429,Skull And Bones Quest,"Only a fool would venture this deep, where ice turns into fire and the undead rule.",,200
430,Skull And Bones Quest,"Only a fool would venture this deep, where ice turns into fire and the undead rule.",,200
431,Breeding Ground of Hell Quest,"An old outpost of the Royal Demonax Army, buried deep underground, has become a breeding ground for the most fearsome minions from hell.",,250
432,Breeding Ground of Hell Quest,"An old outpost of the Royal Demonax Army, buried deep underground, has become a breeding ground for the most fearsome minions from hell.",,250
433,Breeding Ground of Hell Quest,"An old outpost of the Royal Demonax Army, buried deep underground, has become a breeding ground for the most fearsome minions from hell.",,250
434,Breeding Ground of Hell Quest,"An old outpost of the Royal Demonax Army, buried deep underground, has become a breeding ground for the most fearsome minions from hell.",,250
435,Pentagram Room Quest,"Warlocks, seekers of the wisdom embedded in the fabric of reality, stand one in each corner.",,150
436,Destroyer Cave Quest,A horde of Destroyers are hiding out in a cave deep below Argonia.,,150
437,Silver Key 5011,"Ufthak’s stronghold has a secret passage, but where is the key?",,50
438,Ophelia’s Temple Quest,"Can you find your way to Ophelia, and meet her face to face?",,250
439,Ophelia’s Temple Quest,"Can you find your way to Ophelia, and meet her face to face?",,250
440,Ophelia’s Temple Quest,"Can you find your way to Ophelia, and meet her face to face?",,250
441,Silver Key 5012,"Balzac’s brother has the key to East Argonia, but where is he?",,50
442,A Walk Among Demons Quest,Do you have what it takes to make it to the end?,,200
443,Hero Outpost Tower Quest,A gang of heroes are hiding something at the top of the tower.,,150
444,Hero Outpost Tower Quest,A gang of heroes are hiding something at the top of the tower.,,150
445,Copper Key 5013,A band of Rogue Rangers stole a useful key.,,100
446,East Argonia Islet Quest,"A tiny islet,difficult to find…",,75
447,Bone Key 5014,"Where, oh where, did Winston drop his key?",,50
448,Hero Town Prison Quest,The heroes hold some truly horrifying creatures prison in the cellar.,,150
449,Hero Town Prison Quest,The heroes hold some truly horrifying creatures prison in the cellar.,,150
450,West Argonia Islet Quest,"A tiny islet,difficult to find…",,150
451,Infernalist Tower Quest,Make your way through scorching fire and claim your reward.,,150
452,Rogue Ranger Outpost Quest,A band of Rogue Rangers would rather die than let an intruder gain access to their outpost.  ,,85
453,Elven Outpost Quest,"Even the Elves have established a small outpost on Argonia, hidden deep in the Swamplands.",,50
454,Archie’s Eye Quest,"A poor prisoner needs help, and might give you something very useful in return.",,75
455,The Forgotten Cave Quest,"In a small cave, long forgotten, there might be a treasure.",,40
456,The Elevated Mind Quest,Balzac can teach you something that might be useful in an unexpected situation.,,60
457,The Failed Mission Of Ernest Greyson,An adventurer took a detour and will never meet the love of his life again.,,50
458,Ufthag’s Stronghold Quest,"A renegade orc has recruited magicians of all kinds to take over Demonax, and you must stop him!",,80
459,Ufthag’s Stronghold Quest,"A renegade orc has recruited magicians of all kinds to take over Demonax, and you must stop him!",,80
460,Paradise Island Quest,"Beyond a beautiful paradise lies a useful treasure, but watch out!",,60
461,Tomb Of The White Wizard Quest,A dangerous wizard was finally defeated.,,150
463,Hidden Caves Quest Number Two,"Three hidden caves in the middle of the Argonian Swamplands, each with a secret treasure. Can you find them all?",,50
464,Hidden Caves Quest Number Three,"Three hidden caves in the middle of the Argonian Swamplands, each with a secret treasure. Can you find them all?",,50
465,Hidden Caves Quest Number One,"Three hidden caves in the middle of the Argonian Swamplands, each with a secret treasure. Can you find them all?",,
466,Argonia Ring Quest,Someone lost a bag of useful rings.,,60
